user_id,age,home_country,budget_level,attr_culture,attr_adventure,attr_nature,attr_beaches,attr_nightlife,attr_cuisine,attr_wellness,ctx_urban,ctx_seclusion
1,37,Malaysia,Mid-range,2,3,3,1,2,4,1,2,4
2,59,Ukraine,Budget,3,4,3,1,2,5,4,4,3
3,31,Uganda,Mid-range,3,4,2,1,3,2,2,2,2
4,29,Burundi,Mid-range,1,3,3,2,3,3,3,2,1
5,21,Hungary,Luxury,3,3,2,2,3,4,1,3,2
6,24,Luxembourg,Mid-range,2,4,3,4,4,4,3,3,2
7,53,Slovakia,Mid-range,3,1,3,2,3,2,3,2,3
8,24,Latvia,Budget,3,3,3,1,4,3,2,5,4
9,67,Cuba,Mid-range,3,3,3,4,1,4,3,4,2
10,68,Togo,Luxury,3,2,2,2,2,4,1,3,5
11,41,Jordan,Luxury,3,3,3,1,3,2,2,4,2
12,55,Russia,Budget,4,2,3,5,1,3,2,3,3
13,26,Jordan,Mid-range,4,3,4,1,2,3,2,3,3
14,41,Comoros,Mid-range,4,3,5,2,2,3,3,3,3
15,34,Guatemala,Mid-range,3,3,4,2,2,3,2,3,2
16,57,Iran,Mid-range,4,2,5,1,4,3,2,4,3
17,43,São Tomé and Príncipe,Budget,3,4,5,3,3,3,3,1,2
18,32,Malawi,Budget,3,4,4,2,4,3,2,3,2
19,69,São Tomé and Príncipe,Mid-range,3,1,3,2,2,3,2,1,4
20,44,Palau,Mid-range,3,3,3,1,2,3,2,1,2
21,31,American Samoa,Luxury,4,2,4,1,4,4,3,3,4
22,46,Vietnam,Mid-range,2,4,4,4,2,4,2,5,1
23,59,Lithuania,Mid-range,4,2,4,2,3,3,2,3,3
24,59,Kenya,Budget,4,2,4,2,3,3,3,2,3
25,42,Tanzania,Budget,3,3,3,2,2,4,2,4,3
26,51,Spain,Mid-range,4,3,4,2,3,3,2,5,3
27,25,Rwanda,Mid-range,3,3,2,1,2,3,2,4,2
28,60,Maldives,Mid-range,4,3,4,2,1,4,3,4,3
29,43,Lithuania,Mid-range,3,3,4,3,3,5,3,2,4
30,29,Ghana,Mid-range,5,3,2,1,2,4,2,2,3
31,62,United Arab Emirates,Budget,2,4,3,1,2,3,2,5,2
32,38,Palau,Mid-range,3,3,3,1,2,1,1,3,2
33,25,Egypt,Luxury,4,3,2,4,1,4,2,2,3
34,56,Tonga,Mid-range,4,2,4,4,2,2,2,2,2
35,27,Puerto Rico,Budget,3,4,2,1,2,4,2,3,2
36,68,American Samoa,Mid-range,3,4,2,2,3,2,2,4,3
37,50,Bermuda,Budget,4,2,3,1,4,4,1,4,1
38,49,Norway,Luxury,4,3,3,1,2,3,3,2,3
39,32,Hungary,Mid-range,5,2,3,1,3,4,2,2,3
40,55,South Africa,Budget,4,3,4,1,3,3,3,1,3
41,33,Guatemala,Mid-range,4,2,4,2,2,4,2,2,3
42,32,Gambia,Budget,3,3,4,2,2,3,3,3,1
43,19,Estonia,Mid-range,3,2,2,1,2,3,3,4,3
44,47,Bhutan,Budget,4,3,5,1,2,4,2,4,3
45,56,Latvia,Mid-range,4,2,4,2,3,4,3,4,4
46,40,Singapore,Mid-range,4,4,3,1,5,3,3,3,4
47,63,Tuvalu,Budget,4,2,2,2,2,3,3,4,1
48,29,Morocco,Mid-range,4,3,2,5,3,3,2,1,3
49,54,Bangladesh,Mid-range,3,2,5,1,1,3,3,3,3
50,19,Mozambique,Budget,4,3,4,4,3,4,3,3,1
51,46,Bulgaria,Mid-range,3,4,3,1,3,4,1,4,1
52,65,Ivory Coast,Budget,4,2,2,1,3,4,2,1,4
53,18,Turkmenistan,Mid-range,4,3,4,2,2,3,2,3,4
54,65,Thailand,Luxury,4,3,4,2,2,4,3,4,3
55,33,Malawi,Mid-range,3,3,5,2,2,2,3,3,2
56,50,Romania,Mid-range,4,3,4,5,3,3,4,3,3
57,22,Cuba,Mid-range,3,2,3,3,4,4,3,4,4
58,19,Tunisia,Luxury,4,2,3,2,3,4,2,1,3
59,53,Vietnam,Mid-range,3,3,3,1,2,3,2,2,3
60,55,Tonga,Mid-range,3,3,3,3,5,4,3,1,4
61,23,Bolivia,Budget,5,2,3,4,2,3,2,2,2
62,65,Ghana,Mid-range,4,2,1,3,3,3,3,3,1
63,61,Costa Rica,Budget,4,4,5,4,1,2,3,2,3
64,64,Sweden,Budget,3,5,4,4,2,4,3,4,4
65,69,Turkmenistan,Mid-range,3,3,3,5,4,2,2,2,3
66,43,Botswana,Mid-range,4,5,4,2,3,3,1,4,4
67,29,El Salvador,Mid-range,3,2,3,3,2,3,3,2,3
68,54,Jamaica,Mid-range,4,4,4,3,2,4,3,3,4
69,31,Guatemala,Mid-range,3,2,2,2,2,3,2,1,2
70,44,Bulgaria,Mid-range,3,3,3,1,2,4,2,4,3
71,57,Burundi,Mid-range,3,4,4,4,2,3,3,3,1
72,44,Canada,Mid-range,3,4,3,3,2,2,3,3,2
73,64,Greenland,Mid-range,2,3,5,2,3,3,2,1,2
74,69,Portugal,Budget,4,2,4,1,2,3,3,1,3
75,35,Finland,Mid-range,3,4,5,3,3,5,2,1,3
76,31,Lithuania,Budget,4,1,3,2,2,2,2,4,3
77,48,Saint Kitts and Nevis,Luxury,2,1,3,3,2,3,2,2,4
78,44,Ukraine,Mid-range,4,2,3,5,3,4,2,3,2
79,59,Dominica,Mid-range,4,2,4,1,2,2,3,3,2
80,27,Cameroon,Budget,4,2,5,1,3,4,2,3,5
81,57,San Marino,Mid-range,3,2,3,3,2,4,3,2,3
82,23,Saint Kitts and Nevis,Mid-range,3,2,3,1,3,3,2,2,1
83,46,Kyrgyzstan,Budget,3,2,4,3,2,3,3,3,1
84,48,El Salvador,Mid-range,4,2,2,1,3,2,3,2,4
85,36,Bolivia,Budget,5,3,1,4,3,4,3,3,3
86,51,Germany,Mid-range,4,2,4,4,2,4,2,4,1
87,55,Costa Rica,Budget,3,4,2,2,3,3,3,2,3
88,45,Canada,Mid-range,2,4,3,2,2,4,2,4,2
89,52,Vanuatu,Luxury,3,4,4,1,3,3,3,4,3
